experiment_id,dataset,mode,n,patterns,pattern_hash,runtime_mean_ms,runtime_sd_ms,runtime_median_ms,runtime_iqr_ms,runtime_ci95_lo_ms,runtime_ci95_hi_ms,heap_mean_mb,heap_sd_mb,heap_median_mb,nodes_median,candidates_median,corr_pruned_median,uo_bound_pruned_median,eda_aborts_median,duo_entries_median,lazy_duo_skips_median
journal_retail,Retail,UOB_NO_EDA,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,81.6,10.500793620801558,82.0,12.0,74.08870664665531,89.11129335334468,31.7392449,0.0334949487251435,31.747185,13.0,15.0,6.0,0.0,0.0,378373.0,8.0
journal_retail,Retail,UOB_NO_UO_BOUND,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,32.0,9.649409884086753,27.5,11.0,25.09770756922021,38.902292430779795,23.3872909,0.1412151374561756,23.419731,7.0,15.0,6.0,0.0,6.0,63681.0,8.0
journal_retail,Retail,UOB_POSTFILTER,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,59.5,15.671984912930178,57.0,13.25,48.28971624801584,70.71028375198415,19.7220201,0.06241443666946469,19.742432,16.0,18.0,0.0,3.0,0.0,0.0,0.0
journal_retail,Retail,UOB_RECOMPUTE_DUO,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,62.6,16.886549545586735,62.5,19.5,50.52092941323713,74.67907058676288,46.7523377,0.03134051452477724,46.760338,13.0,15.0,6.0,0.0,0.0,756746.0,8.0
journal_t10n_100k,T10I4N4KD100K,CORHUOPM_AC,10,35,69912d343dddd334ef7de47e4ad31c0f6f785b4aeeda99cee372ba094cb22760,9348.9,433.95940670374534,9195.0,241.5,9038.485708956498,9659.314291043502,326.3931038,0.8394036057137743,326.6509055,1251.0,767660.0,7.0,25.0,0.0,0.0,0.0
journal_t10n_100k,T10I4N4KD100K,CORHUOPM_BOND,10,35,69912d343dddd334ef7de47e4ad31c0f6f785b4aeeda99cee372ba094cb22760,8822.5,384.88822331222923,8803.0,387.25,8547.186680079223,9097.813319920777,325.4902252,0.4454497799714685,325.2563325,1248.0,767657.0,7.0,25.0,0.0,0.0,0.0
journal_t10n_100k,T10I4N4KD100K,COUPM_KULC_ADAPTED,10,39,000730bcbd10c6ead03c91b56573d4b6676be73177757d0fd8b90c621e7303a9,9283.3,437.37424859419116,9145.0,292.5,8970.443047942417,9596.156952057581,325.9162301,0.7670995915794981,325.77516149999997,1251.0,767660.0,0.0,28.0,0.0,0.0,0.0
journal_t10n_100k,T10I4N4KD100K,HUOPM,10,39,000730bcbd10c6ead03c91b56573d4b6676be73177757d0fd8b90c621e7303a9,9387.8,529.7521013539152,9345.0,192.5,9008.864504121137,9766.735495878862,325.9707848,0.7507449691459561,326.1091195,1251.0,767660.0,0.0,28.0,0.0,0.0,0.0
journal_t10n_100k,T10I4N4KD100K,UOB_EAGER_DUO,10,36,fa135f14b7f35d2007bcf51444ff12b665d41878ed0670a1d09f8565fa571d32,8739.1,557.945925297027,8640.0,425.25,8339.99725866935,9138.202741330651,325.5223305,0.6015984673026963,325.312088,1242.0,767655.0,767573.0,25.0,767573.0,62662.0,0.0
journal_t10n_100k,T10I4N4KD100K,UOB_FULL,10,36,fa135f14b7f35d2007bcf51444ff12b665d41878ed0670a1d09f8565fa571d32,8516.9,448.5357535606523,8476.0,459.5,8196.059143001954,8837.740856998045,325.78107769999997,0.8227712535374322,325.30757900000003,1242.0,767655.0,4.0,25.0,4.0,2762.0,767649.0
journal_t10n_100k,T10I4N4KD100K,UOB_NO_EDA,10,36,fa135f14b7f35d2007bcf51444ff12b665d41878ed0670a1d09f8565fa571d32,8689.8,440.90457521378073,8632.0,697.5,8374.417779869314,9005.182220130684,326.0414925,0.7309815116215336,326.18823999999995,1247.0,767656.0,5.0,25.0,0.0,10611.0,767649.0
journal_t10n_100k,T10I4N4KD100K,UOB_NO_UO_BOUND,10,36,fa135f14b7f35d2007bcf51444ff12b665d41878ed0670a1d09f8565fa571d32,8451.1,448.17096192313835,8350.5,312.5,8130.520081089224,8771.679918910777,326.1315687,0.9301211273113338,325.7642515,1242.0,768180.0,4.0,0.0,4.0,2762.0,768174.0
journal_t10n_100k,T10I4N4KD100K,UOB_POSTFILTER,10,36,fa135f14b7f35d2007bcf51444ff12b665d41878ed0670a1d09f8565fa571d32,9266.8,564.714834624029,9155.5,517.0,8862.855409046042,9670.744590953957,325.900238,0.7648218484912355,325.76568199999997,1251.0,767660.0,0.0,28.0,0.0,0.0,0.0
